gene,gene_full,effect_size,cohens_d,pvalue,ecdna_pos_mean,ecdna_neg_mean,ecdna_pos_std,ecdna_neg_std,n_pos,n_neg,fdr,category,vulnerability_score,combined_rank
ZNF510,ZNF510 (22869),0.0006151348055349,0.0059545990121319,0.4837579914812441,0.0085481468455705,0.0079330120400356,0.0987380733605458,0.1076767792679322,92,970,0.9471649344090368,Other,-0.00071978266,17140.0
RPS12,RPS12 (6206),0.028605972076205,0.0843589177042875,0.8128048250652233,-2.293469182350923,-2.322075154427128,0.3441977280047767,0.3339211621917236,92,970,0.9999744867960496,Other,0.038306296,17140.0
RCVRN,RCVRN (5957),-0.0021780899328814,-0.0226270629535935,0.2547599563245593,-0.1210071134354578,-0.1188290235025763,0.0881612470470959,0.1037290719544056,92,970,0.8425858475900195,Other,-0.003588814,17143.0
CACNG1,CACNG1 (786),0.0099806181008159,0.0978053164780834,0.907361957212584,-0.0615858851276582,-0.0715665032284742,0.0968920831900858,0.1069513885896811,92,970,0.9999744867960496,Other,0.0098168515,17144.0
CAMK1,CAMK1 (8536),0.005108718941578,0.0582519729849502,0.5364858716960883,-0.0170308929641433,-0.0221396119057214,0.0850976498693304,0.0902280217791321,92,970,0.9624224235022172,Other,0.0041863923,17144.0
LRRC72,LRRC72 (100506049),-0.0196914814063947,-0.1514583231462876,0.1294348802396565,0.0892385319761778,0.1089300133825726,0.1275886007147437,0.1323921087522691,92,970,0.7681152549550236,Other,-0.017572436,17145.0
RNASE4,RNASE4 (6038),0.0055610343648348,0.0556998931501996,0.6584103248188686,0.0116123038011496,0.0060512694363147,0.0898014788472006,0.1089561266244005,92,970,0.9857798232018284,Other,0.0046003773,17145.0
LRRC10,LRRC10 (376132),0.0052186173663022,0.0461872728956112,0.7650182903024686,-0.0311636993739494,-0.0363823167402517,0.1057928605904543,0.119752004576149,92,970,0.9999744867960496,Other,0.0043127923,17146.0
SMARCAD1,SMARCAD1 (56916),0.0002559227236462,0.0028298900943822,0.5143987899220748,0.0512108732221242,0.0509549504984779,0.0753826626146935,0.1033181436621034,92,970,0.9566932439772262,Other,-0.0011239843,17147.0
CUL5,CUL5 (8065),0.0059450463910608,0.0444565706662755,0.7575218257239639,0.1501429347776397,0.1441978883865788,0.1209375772599348,0.1453958539087049,92,970,0.9999744867960496,Other,0.005042273,17148.0
CDH4,CDH4 (1002),-0.0020728399904255,-0.0185362168477475,0.3506421315302075,0.0058640107927274,0.0079368507831529,0.108369455983456,0.1151798023535885,92,970,0.8980063570369092,Other,-0.0034806223,17150.0
CHD3,CHD3 (1107),-0.0119738507323245,-0.1203715861651556,0.1156534629881464,-0.0809288941138049,-0.0689550433814804,0.0955625436494327,0.1032374865386338,92,970,0.7527317693735608,Other,-0.012277258,17150.0
PRDM12,PRDM12 (59335),0.0103821829512463,0.1032225994858593,0.8755965053696896,-0.063728183022267,-0.0741103659735133,0.09018905679792,0.1099946221195677,92,970,0.9999744867960496,Other,0.01024711,17151.0
KLF14,KLF14 (136259),-0.0072582656655285,-0.0694177581801866,0.1365416910825239,-0.0493721828757271,-0.0421139172101986,0.0984962268066992,0.1102893845784438,92,970,0.7744018997424263,Other,-0.00844526,17152.0
PUS10,PUS10 (150962),-0.0014567728583879,-0.0107993383133986,0.5428393072807542,-0.0314100176044214,-0.0299532447460334,0.1337033933121785,0.1360754593462907,92,970,0.9636060242037228,Other,-0.002808909,17153.0
CD200,CD200 (4345),0.0094572901774885,0.0822671137251939,0.7808825695374179,0.0203119958331466,0.010854705655658,0.1097289742670757,0.1199599450972151,92,970,0.9999744867960496,Other,0.009135156,17154.0
MIA,MIA (8190),0.0121022163659861,0.125519723540344,0.7115315459512654,0.0862930011905395,0.0741907848245534,0.085819713641669,0.1059594012207112,92,970,0.9992242973241108,Other,0.01258,17154.0
ZFPL1,ZFPL1 (7542),-0.0114123086226949,-0.1024413997455481,0.1153072591543972,-0.1239373724370915,-0.1125250638143966,0.1109119826914767,0.1118924334218013,92,970,0.7527317693735608,Other,-0.011828028,17157.0
ARHGEF2,ARHGEF2 (9181),-0.0064250210138154,-0.0600199642869435,0.1600460689813133,-0.1407353212674638,-0.1343103002536483,0.0975488766908114,0.1157704319861928,92,970,0.7916794044052138,Other,-0.0077369236,17157.0
RSL24D1,RSL24D1 (51187),0.0475601396138243,0.159771752843591,0.970729033361969,-1.8717550326435195,-1.919315172257344,0.29233333890517,0.302923504229772,92,970,0.9999744867960496,Other,0.069232635,17158.0
UQCRC1,UQCRC1 (7384),0.0228673059463896,0.0798712275597377,0.7299419080096999,-0.5429338706419142,-0.5658011765883039,0.2594718789545839,0.3108250498932787,92,970,0.9999744867960496,Other,0.02893348,17158.0
NLGN4X,NLGN4X (57502),0.0138678008462417,0.1557586988551337,0.9503586558428552,0.0963592243459478,0.082491423499706,0.0908237587149619,0.0872072668109688,92,970,0.9999744867960496,Other,0.015051666,17159.0
DEFB114,DEFB114 (245928),0.0120090046592524,0.1011996230188071,0.913124657198529,-0.0288198864659136,-0.0408288911251661,0.1168419563917242,0.1204634042691828,92,970,0.9999744867960496,Other,0.012431473,17160.0
DNALI1,DNALI1 (7802),-0.0081939436695785,-0.08144959970738,0.1224441758870782,-0.0189611939456564,-0.0107672502760778,0.1005087668298953,0.1006939457341524,92,970,0.7634388325935204,Other,-0.009192066,17160.0
KDELR1,KDELR1 (10945),0.0012186157389478,0.009894541510424,0.3123427360036184,-0.0577500555946916,-0.0589686713336395,0.1148401864805798,0.1309530536128491,92,970,0.8743091854805377,Other,-0.0001626319,17161.0
SLC17A2,SLC17A2 (10246),-0.0126057014002452,-0.1608947595449734,0.0439416466425159,-0.0098869242231791,0.002718777177066,0.0777234331532478,0.0789666255156485,92,970,0.6316797898048041,Other,-0.012849978,17161.0
MYG1,MYG1 (60314),-0.0065484630364204,-0.0413458965773895,0.3421120355758864,-0.2982960273489177,-0.2917475643124972,0.1646458995731942,0.151860817317361,92,970,0.8931759696194383,Other,-0.00784123,17167.0
RPP40,RPP40 (10799),0.0294338344488225,0.0807152700187293,0.8814092534721929,-1.0798040089019318,-1.1092378433507544,0.3583999241825539,0.37081938142957,92,970,0.9999744867960496,Other,0.038481876,17169.0
TCIM,TCIM (56892),-0.0235424839439624,-0.1826342219811875,0.1424640104843571,0.0064319819406169,0.0299744658845794,0.135307422059238,0.1221677322650282,92,970,0.774907101904153,Other,-0.019551266,17170.0
IL31RA,IL31RA (133396),-0.0104043110266099,-0.0872696213041968,0.2061104839462593,-0.0922045263254165,-0.0818002152988065,0.1198426548925917,0.1185946928722952,92,970,0.8184860696960327,Other,-0.011002929,17170.0
DAND5,DAND5 (199699),-0.0012918977471582,-0.009619628680319,0.2505547289144491,-0.1465988252746091,-0.1453069275274509,0.1251880261730498,0.1428282585391909,92,970,0.8422240018150569,Other,-0.0026561415,17172.0
C19orf18,C19orf18 (147685),-0.0101018882903836,-0.1062173690359313,0.292122562804995,-0.0384066622804108,-0.0283047739900271,0.0898261011814965,0.1001074397303923,92,970,0.865458341306328,Other,-0.010752304,17173.0
ASB4,ASB4 (51666),-0.0009961309224331,-0.0089852559217601,0.6222467503606997,0.108236099832218,0.1092322307546512,0.116504132692317,0.104918646273155,92,970,0.9775194118232629,Other,-0.002442847,17173.0
ARHGEF25,ARHGEF25 (115557),0.0023390825580732,0.0182366659748086,0.6194047791811175,-0.0570486301004854,-0.0593877126585586,0.1205839289710157,0.1355068834217513,92,970,0.9775194118232629,Other,0.0009655625,17174.0
NOD2,NOD2 (64127),-0.0019707785681389,-0.0222215798160762,0.3175223980044535,0.0906138085774896,0.0925845871456286,0.0826101325224963,0.094374501690438,92,970,0.8782438054471833,Other,-0.0033936836,17174.0
NOP58,NOP58 (51602),0.0304738616871889,0.0917703726125641,0.7802516402434956,-1.4331924244983552,-1.463666286185544,0.3283424825673625,0.3357491120405533,92,970,0.9999744867960496,Other,0.039697167,17176.0
SPATA5,SPATA5 (166378),0.0144850119343071,0.0565708634799114,0.7750601655599874,-0.8813510011969408,-0.8958360131312479,0.2539883231728381,0.2580966936093449,92,970,0.9999744867960496,Other,0.0159327,17176.0
ATP5PD,ATP5PD (10476),0.0170893152013934,0.1061991822465735,0.8333762864699928,-0.4122944784600005,-0.429383793661394,0.1464202748337152,0.1742126200626322,92,970,0.9999744867960496,Other,0.019825678,17177.0
CRISPLD1,CRISPLD1 (83690),-0.0020710167040517,-0.0231793674988385,0.5109951456279469,0.0699593293571701,0.0720303460612218,0.0934084360159507,0.0850928159308984,92,970,0.9554325526627802,Other,-0.0035300553,17178.0
CLDN2,CLDN2 (9075),-0.0023635116522545,-0.0260668691206994,0.5439677086877953,0.0765166822296555,0.07888019388191,0.0886231106961689,0.0926738387148296,92,970,0.964138155755874,Other,-0.0038758405,17180.0
SACM1L,SACM1L (22908),0.0429626366181308,0.1272858813214563,0.839867361337673,-1.25292332561389,-1.295885962232021,0.3293792866239926,0.3454859143212009,92,970,0.9999744867960496,Other,0.052284792,17181.0
